PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40079944,Atezolizumab in High-Risk Locally Advanced Squamous Cell Carcinoma of the Head and Neck: A Randomized Clinical Trial.,2025-03-13,"Fayette, Jérôme; Teixeira, Maria; Dinis, José; Lau, Agnes; Jiang, Tao; Yan, Yibing; Ballinger, Marcus; Kaul, Monika; Matheny, Christina; Cuchelkar, Vaikunth",IPO do Porto; IPO de; Centre Leon Berard; Genentech,
40078313,Dual Potential of Cetuximab Conjugated Hydroxyapatite Zirconium Nanoparticle as Nanocarrier for Radioenhancer in X-Ray Dynamic Therapy and ,2025-01-01,"Kurniawan, Ahmad; Mahendra, Isa; Rizaludin, Asep; Syarif, Dani Gustaman; Febrian, Muhamad Basit",Research Center for Radioisotope; Research Center for Radiation Process Technology,
40078077,Number needed to treat (NNT) with pembrolizumab as an adjuvant therapy in resected patients with high-risk stage II (IIB and IIC) melanoma and its application to cost of preventing an event (COPE) in Mexico.,2025-12-01,"Rojas Rojas, Mónica; Urrego-Reyes, Juan; Medrano Rivera, Daniela; Acevedo, Roberto; Jiang, Ruixuan; Jiang, Shan; Zhang, Shujing; Krepler, Clemens; Fukunaga-Kalabis, Mizuho",Merck & Co.; MSD Mexico; MSD,
40076932,Characterization of Exhausted T Cell Signatures in Pan-Cancer Settings.,2025-03-05,"Zaravinos, Apostolos",Cancer Genetics,
40076788,Unusual Partners: γδ-TCR-Based T Cell Therapy in Combination with Oncolytic Virus Treatment for Diffuse Midline Gliomas.,2025-02-28,"Vazaios, Konstantinos; Hulleman, Esther; Calkoen, Friso G; van der Lugt, Jasper",Princess Máxima Center for Pediatric Oncology,
40076494,CYP4X1 Expression Is Associated with Metastasis and Poor Prognosis in Patients with Colorectal Cancer.,2025-02-21,"Kim, Hyeongjoo",Korean Drug,
40076483,Advances in Melanoma and Skin Cancers.,2025-02-21,"Mallardo, Domenico; Basile, Debora; Vitale, Maria Grazia",Melanoma; Unit of Medical Oncology,
40075745,Avelumab Maintenance Therapy in Advanced Urothelial Carcinoma: Implications of Timing and Treatment Sequencing.,2025-03-06,"Gramaça, João; Cunha, Gonçalo",IPO; Unidade Local de Saúde Arco Ribeirinho,
40075726,The Complexity of Malignant Glioma Treatment.,2025-03-04,"Metselaar, Dennis S; Veldhuijzen van Zanten, Sophie; Hulleman, Esther",Princess Máxima Center for Pediatric Oncology,
40075721,Real-World Insights into the Impact of Durvalumab on Stage III Unresectable Non-Small Cell Lung Cancer-A Narrative Review.,2025-03-03,"Volpi, Giulia",Azienda Ospedaliera Universitaria Integrata Verona,
40075453,Identification of TAP2 as a novel immune target in human cancers: insights from integrated bioinformatics and experimental approaches.,2025-03-13,"Yang, Lufei; Gui, Jiawei; Sheng, Yilei; Liu, Junzhe; Wang, Chong; Fang, Zhansheng; Huang, Le; Tu, Zewei; Zhu, Xingen; Huang, Kai",Jiangxi Province Key Laboratory of Neurological Diseases,
40075416,Efficacy and safety of immune checkpoint inhibitors in metastatic penile squamous cell carcinoma: a retrospective multicenter analysis.,2025-03-12,"Brunk, Kelly",National,
40075025,First-Line Tislelizumab Plus Chemotherapy for Advanced Gastric Cancer with Programmed Death-Ligand 1 Expression ≥ 1%: A Retrospective Analysis of RATIONALE-305.,2025-03-13,"Sheng, Tao",Biostatistics,
40075024,First-Line Tislelizumab Plus Chemotherapy for Esophageal Squamous Cell Carcinoma with Programmed Death-Ligand 1 Expression ≥ 1%: A Retrospective Analysis of RATIONALE-306.,2025-03-13,"Wu, Hongqian",Biostatistics,
40074893,Spatial immune scoring system predicts hepatocellular carcinoma recurrence.,2025-03-12,"Yeong, Joe",Singapore Immunology Network (SIgN),
40074697,Adrenomedullin Inhibits the Efficacy of Combined Immunotherapy and Targeted Therapy in Biliary Tract Cancer by Disrupting Endothelial Cell Functions.,2025-03-01,"Zhu, Chan; Song, Yunjie; Zhang, Xing",Jiangsu Simcere Diagnostics,
40074592,[Merkel cell carcinoma: An update].,2025-03-11,"Toumelin, Louise; Saiag, Philippe; Blom, Astrid",Dermatologie,
40074330,"Fc-mediated immune stimulating, pro-inflammatory and antitumor effects of anti-HER2 IgE against HER2-expressing and trastuzumab-resistant tumors.",2025-03-12,"Grandits, Melanie; Palhares, Lais C G F; Sow, Heng Sheng; Birtley, James; Hardaker, Elizabeth; FitzGerald, Kevin; Bax, Heather J",Epsilogen,
40073064,iPSCs engrafted in allogeneic hosts without immunosuppression induce donor-specific tolerance to secondary allografts.,2025-03-18,"Ikeda, Satoshi; Inoue, Makoto",Sumitomo Pharma,
40072805,Stereotactic body radiotherapy combined with immunotherapy or targeted therapy: a screenshot from Italy on behalf of the Italian Association of Clinical Oncology and Radiotherapy (AIRO).,2025-03-12,"Montesi, Giampaolo",Radiation Oncology Unit,
40072566,Neoantigen-based mRNA vaccine exhibits superior anti-tumor activity compared to synthetic long peptides in an in vivo lung carcinoma model.,2025-03-12,"Huynh, Chi Thien; Ha, Quang Thanh",Biotechnology Center of Ho Chi Minh City,
40072471,Survey of the impact of BOLT-trial data on oncologists' and dermatologists' decision-making in treating patients with locally advanced basal cell carcinoma.,2025-02-06,"Fania, Luca",Istituto Dermopatico dell'Immacolata,
40072283,A Self-Priming Pyroptosis-Inducing Agent for Activating Anticancer Immunity.,2025-03-12,"Li, Yanjie; Feng, Hanxin; Wang, Yi; Ding, Yuan; Mao, Zhengwei; Du, Yang; Wang, Weilin",Key Laboratory of Precision Diagnosis and Treatment for Hepatobiliary and Pancreatic Tumor of Zhejiang Province,
40072049,Strategies to Overcome Antigen Heterogeneity in CAR-T Cell Therapy.,2025-02-20,"Jiang, Hua",CARsgen Therapeutics,
40071851,Dual implication of endothelial adhesion molecules in tumor progression and cancer immunity.,2025-12-01,"Chriqui, Louis-Emmanuel; Cavin, Sabrina; Perentes, Jean Yannis",Agora Cancer Research Center Lausanne,
40071070,Migration of Regulatory T Cells to the Peritumor Microenvironment of Experimental Glioblastoma.,2025-01-01,"Melnikov, P A; Chudakova, D A",PhD,
40070834,Dynamic SARS-CoV-2-specific B-cell and T-cell responses induced in people living with HIV after a full course of inactivated SARS-CoV-2 vaccine.,2025-01-01,"Jin, Cong",STD,
40069719,Toward European harmonization of national myasthenia gravis registries: modified Delphi procedure-based expert consensus on collectable data.,2025-03-11,"Vanoli, Fiammetta; Antozzi, Carlo; Mantegazza, Renato",Neuroimmunology and Neuromuscular Diseases Unit,
40069616,"Protocol of the IMPACT study: randomized, multicenter, phase 3 study evaluating the efficacy of immunotherapy (Atezolizumab) plus anti-VEGF therapy (Bevacizumab) in combination with transcatheter arterial chemoembolization for unresectable hepatocellular carcinoma.",2025-03-11,"Hamano, Tetsutaro",P4 Statistics,
40069402,A phase II trial of mTORC1/2 inhibition in STK11 deficient non small cell lung cancer.,2025-03-11,"Steele, Nicola; Bajracharya, Maya; McBride, David J; Maheswari, Uma",Beatson West of Scotland Cancer Centre; Illumina Cambridge,
40069238,PD-1 transcriptomic landscape across cancers and implications for immune checkpoint blockade outcome.,2025-03-11,"Nesline, Mary K; Conroy, Jeffrey M; DePietro, Paul; Pabla, Sarabjot",OmniSeq,
